== fastent benchmark ==
  binary    : ./fastent
  ent       : /usr/bin/ent (compared at jobs=ent, single-threaded)
  size/run  : 1024 MiB
  runs/cell : 5 (after 1 warmup)
  jobs      : 1 2 4 8 16 24
  modes     : byte bit byte-fold
  levels    : plain e ee
  fips      : on
  datasets  : random zeros counter dna ascii biased sparse-bits lcg walk stripes
  cache     : /tmp/fastent-bench

  generating random       (1024 MiB) ...
  generating zeros        (1024 MiB) ...
  generating counter      (1024 MiB) ...
  generating dna          (1024 MiB) ...
  generating ascii        (1024 MiB) ...
  generating biased       (1024 MiB) ...
  generating sparse-bits  (1024 MiB) ...
  generating lcg          (1024 MiB) ...
  generating walk         (1024 MiB) ...
  generating stripes      (1024 MiB) ...

  dataset      mode      level jobs        mean      stddev         min         max       MiB/s
  ascii        bit       e        8     0.2970s     0.0035s     0.2927s     0.3015s      3447.7
  ascii        bit       e       16     0.2738s     0.0069s     0.2653s     0.2806s      3740.4
  ascii        bit       e       24     0.3004s     0.0050s     0.2932s     0.3071s      3409.3
  ascii        bit       ee       1     5.1868s     0.0051s     5.1818s     5.1947s       197.4
  ascii        bit       ee       2     2.6689s     0.0043s     2.6643s     2.6750s       383.7
  ascii        bit       ee       4     1.4055s     0.0028s     1.4032s     1.4102s       728.6
  ascii        bit       ee       8     0.7687s     0.0065s     0.7575s     0.7731s      1332.1
  ascii        bit       ee      16     0.6116s     0.0048s     0.6054s     0.6162s      1674.4
  ascii        bit       ee      24     0.5869s     0.0153s     0.5633s     0.6059s      1744.9
  ascii        byte-fold plain  ent    14.0560s     0.0272s    14.0135s    14.0881s        72.9
  ascii        byte-fold plain    1     0.3983s     0.0021s     0.3954s     0.4011s      2570.9
  ascii        byte-fold plain    2     0.2472s     0.0027s     0.2440s     0.2501s      4142.4
  ascii        byte-fold plain    4     0.1469s     0.0105s     0.1398s     0.1653s      6970.9
  ascii        byte-fold plain    8     0.0947s     0.0060s     0.0866s     0.1011s     10812.5
  ascii        byte-fold plain   16     0.0728s     0.0046s     0.0695s     0.0808s     14064.0
  ascii        byte-fold plain   24     0.0674s     0.0049s     0.0641s     0.0758s     15189.3
  ascii        byte-fold e        1     1.9425s     0.0036s     1.9369s     1.9469s       527.2
  ascii        byte-fold e        2     1.0408s     0.0038s     1.0357s     1.0446s       983.9
  ascii        byte-fold e        4     0.5593s     0.0029s     0.5562s     0.5641s      1830.9
  ascii        byte-fold e        8     0.3377s     0.0057s     0.3336s     0.3464s      3032.0
  ascii        byte-fold e       16     0.2908s     0.0057s     0.2843s     0.2987s      3520.7
  ascii        byte-fold e       24     0.3119s     0.0098s     0.2963s     0.3211s      3282.9
  ascii        byte-fold ee       1     3.4839s     0.0937s     3.3905s     3.5878s       293.9
  ascii        byte-fold ee       2     1.8914s     0.0026s     1.8885s     1.8947s       541.4
  ascii        byte-fold ee       4     1.0018s     0.0007s     1.0009s     1.0028s      1022.2
  ascii        byte-fold ee       8     0.5730s     0.0124s     0.5605s     0.5877s      1787.2
  ascii        byte-fold ee      16     0.4690s     0.0071s     0.4629s     0.4805s      2183.6
  ascii        byte-fold ee      24     0.4918s     0.0101s     0.4784s     0.4994s      2082.3
  ascii        fips      -        1     3.1217s     0.0072s     3.1138s     3.1280s       328.0
  ascii        fips      -        2     1.6230s     0.0006s     1.6223s     1.6238s       630.9
  ascii        fips      -        4     0.8564s     0.0025s     0.8546s     0.8608s      1195.7
  ascii        fips      -        8     0.4623s     0.0058s     0.4564s     0.4704s      2214.8
  ascii        fips      -       16     0.3628s     0.0038s     0.3594s     0.3682s      2822.6
  ascii        fips      -       24     0.3460s     0.0016s     0.3435s     0.3477s      2959.7
  biased       byte      plain  ent     8.4781s     0.0230s     8.4394s     8.4960s       120.8
  biased       byte      plain    1     0.3254s     0.0150s     0.3181s     0.3521s      3147.0
  biased       byte      plain    2     0.2118s     0.0102s     0.2040s     0.2290s      4835.2
  biased       byte      plain    4     0.1214s     0.0029s     0.1183s     0.1249s      8434.0
  biased       byte      plain    8     0.0795s     0.0018s     0.0776s     0.0816s     12879.5
  biased       byte      plain   16     0.0642s     0.0024s     0.0615s     0.0679s     15939.3
  biased       byte      plain   24     0.0617s     0.0022s     0.0589s     0.0640s     16584.7
  biased       byte      e        1     3.8239s     0.0281s     3.8048s     3.8737s       267.8
  biased       byte      e        2     1.9847s     0.0040s     1.9799s     1.9903s       515.9
  biased       byte      e        4     1.0540s     0.0041s     1.0490s     1.0599s       971.5
  biased       byte      e        8     0.5835s     0.0106s     0.5721s     0.5964s      1754.9
  biased       byte      e       16     0.4405s     0.0093s     0.4295s     0.4509s      2324.9
  biased       byte      e       24     0.3980s     0.0034s     0.3928s     0.4017s      2573.1
  biased       byte      ee       1     5.5883s     0.0908s     5.4358s     5.6635s       183.2
  biased       byte      ee       2     2.8846s     0.0138s     2.8731s     2.9081s       355.0
  biased       byte      ee       4     1.5467s     0.0041s     1.5415s     1.5522s       662.0
  biased       byte      ee       8     0.9042s     0.0087s     0.8938s     0.9162s      1132.5
  biased       byte      ee      16     0.6566s     0.0068s     0.6504s     0.6671s      1559.5
  biased       byte      ee      24     0.6030s     0.0120s     0.5876s     0.6207s      1698.1
  biased       bit       plain  ent    19.7074s     0.0661s    19.6404s    19.7946s        52.0
  biased       bit       plain    1     0.1412s     0.0044s     0.1378s     0.1487s      7254.6
  biased       bit       plain    2     0.1108s     0.0016s     0.1093s     0.1135s      9238.9
  biased       bit       plain    4     0.0694s     0.0007s     0.0687s     0.0705s     14749.1
  biased       bit       plain    8     0.0524s     0.0025s     0.0496s     0.0558s     19554.0
  biased       bit       plain   16     0.0508s     0.0018s     0.0488s     0.0535s     20162.1
  biased       bit       plain   24     0.0519s     0.0015s     0.0501s     0.0536s     19748.7
  biased       bit       e        1     3.6190s     0.0122s     3.6086s     3.6329s       283.0
  biased       bit       e        2     1.8912s     0.0034s     1.8867s     1.8955s       541.4
  biased       bit       e        4     1.0043s     0.0027s     1.0005s     1.0075s      1019.6
  biased       bit       e        8     0.5502s     0.0017s     0.5486s     0.5532s      1861.0
  biased       bit       e       16     0.4272s     0.0071s     0.4184s     0.4363s      2397.2
  biased       bit       e       24     0.3916s     0.0087s     0.3812s     0.4045s      2614.7
  biased       bit       ee       1     7.9324s     0.0092s     7.9207s     7.9412s       129.1
  biased       bit       ee       2     4.0483s     0.0015s     4.0461s     4.0502s       252.9
  biased       bit       ee       4     2.1246s     0.0028s     2.1225s     2.1292s       482.0
  biased       bit       ee       8     1.1355s     0.0045s     1.1280s     1.1398s       901.8
  biased       bit       ee      16     0.8298s     0.0077s     0.8191s     0.8407s      1234.0
  biased       bit       ee      24     0.7445s     0.0193s     0.7202s     0.7683s      1375.5
  biased       byte-fold plain  ent    11.2273s     0.0533s    11.1492s    11.2869s        91.2
  biased       byte-fold plain    1     0.4158s     0.0140s     0.4024s     0.4368s      2462.5
  biased       byte-fold plain    2     0.2525s     0.0055s     0.2463s     0.2612s      4055.7
  biased       byte-fold plain    4     0.1444s     0.0040s     0.1404s     0.1505s      7092.1
  biased       byte-fold plain    8     0.0934s     0.0094s     0.0851s     0.1095s     10961.8
  biased       byte-fold plain   16     0.0715s     0.0050s     0.0664s     0.0781s     14319.6
  biased       byte-fold plain   24     0.0657s     0.0025s     0.0634s     0.0696s     15582.0
  biased       byte-fold e        1     3.9116s     0.0201s     3.9015s     3.9476s       261.8
  biased       byte-fold e        2     2.0316s     0.0090s     2.0240s     2.0432s       504.0
  biased       byte-fold e        4     1.0842s     0.0090s     1.0764s     1.0982s       944.5
  biased       byte-fold e        8     0.5977s     0.0147s     0.5856s     0.6173s      1713.3
  biased       byte-fold e       16     0.4464s     0.0050s     0.4396s     0.4514s      2293.7
  biased       byte-fold e       24     0.4084s     0.0122s     0.3972s     0.4285s      2507.2
  biased       byte-fold ee       1     5.6450s     0.0970s     5.5031s     5.7628s       181.4
  biased       byte-fold ee       2     3.1146s     0.0459s     3.0489s     3.1545s       328.8
  biased       byte-fold ee       4     1.6384s     0.0376s     1.5719s     1.6632s       625.0
  biased       byte-fold ee       8     0.9033s     0.0124s     0.8965s     0.9253s      1133.7
  biased       byte-fold ee      16     0.6511s     0.0041s     0.6451s     0.6562s      1572.7
  biased       byte-fold ee      24     0.6094s     0.0167s     0.5872s     0.6279s      1680.4
  biased       fips      -        1     3.0910s     0.0093s     3.0824s     3.1017s       331.3
  biased       fips      -        2     1.6126s     0.0036s     1.6094s     1.6181s       635.0
  biased       fips      -        4     0.8509s     0.0030s     0.8484s     0.8546s      1203.4
  biased       fips      -        8     0.4601s     0.0093s     0.4526s     0.4738s      2225.7
  biased       fips      -       16     0.3551s     0.0049s     0.3471s     0.3605s      2883.6
  biased       fips      -       24     0.3450s     0.0033s     0.3417s     0.3484s      2968.1
  sparse-bits  byte      plain  ent     8.3274s     0.0243s     8.2981s     8.3495s       123.0
  sparse-bits  byte      plain    1     0.3338s     0.0040s     0.3305s     0.3405s      3067.9
  sparse-bits  byte      plain    2     0.2204s     0.0194s     0.2107s     0.2551s      4645.3
  sparse-bits  byte      plain    4     0.1272s     0.0102s     0.1207s     0.1452s      8047.2
  sparse-bits  byte      plain    8     0.0817s     0.0069s     0.0740s     0.0904s     12533.1
  sparse-bits  byte      plain   16     0.0673s     0.0049s     0.0633s     0.0755s     15216.0
  sparse-bits  byte      plain   24     0.0624s     0.0015s     0.0605s     0.0646s     16405.9
  sparse-bits  byte      e        1     2.8287s     0.0403s     2.8079s     2.9006s       362.0
  sparse-bits  byte      e        2     1.4873s     0.0255s     1.4754s     1.5329s       688.5
  sparse-bits  byte      e        4     0.7927s     0.0019s     0.7894s     0.7941s      1291.8
  sparse-bits  byte      e        8     0.4479s     0.0045s     0.4408s     0.4527s      2286.5
  sparse-bits  byte      e       16     0.3436s     0.0074s     0.3336s     0.3541s      2980.5
  sparse-bits  byte      e       24     0.3349s     0.0122s     0.3189s     0.3493s      3057.5
  sparse-bits  byte      ee       1     3.8614s     0.0499s     3.8237s     3.9472s       265.2
  sparse-bits  byte      ee       2     2.0305s     0.0069s     2.0236s     2.0419s       504.3
  sparse-bits  byte      ee       4     1.1710s     0.0535s     1.0911s     1.2281s       874.4
  sparse-bits  byte      ee       8     0.6312s     0.0323s     0.6027s     0.6865s      1622.3
  sparse-bits  byte      ee      16     0.4764s     0.0126s     0.4604s     0.4934s      2149.4
  sparse-bits  byte      ee      24     0.4629s     0.0104s     0.4511s     0.4760s      2211.9
  sparse-bits  bit       plain  ent    20.1682s     0.0824s    20.0879s    20.3050s        50.8
  sparse-bits  bit       plain    1     0.1387s     0.0020s     0.1363s     0.1417s      7382.1
  sparse-bits  bit       plain    2     0.1112s     0.0019s     0.1087s     0.1139s      9210.6
  sparse-bits  bit       plain    4     0.0720s     0.0015s     0.0701s     0.0738s     14229.8
  sparse-bits  bit       plain    8     0.0529s     0.0022s     0.0497s     0.0552s     19347.1
  sparse-bits  bit       plain   16     0.0518s     0.0020s     0.0490s     0.0541s     19776.0
  sparse-bits  bit       plain   24     0.0516s     0.0008s     0.0506s     0.0527s     19848.9
  sparse-bits  bit       e        1     2.6139s     0.0045s     2.6106s     2.6215s       391.8
  sparse-bits  bit       e        2     1.3799s     0.0020s     1.3768s     1.3818s       742.1
  sparse-bits  bit       e        4     0.7377s     0.0015s     0.7366s     0.7401s      1388.1
  sparse-bits  bit       e        8     0.4146s     0.0017s     0.4124s     0.4167s      2469.9
  sparse-bits  bit       e       16     0.3237s     0.0049s     0.3180s     0.3308s      3163.4
  sparse-bits  bit       e       24     0.3209s     0.0066s     0.3147s     0.3318s      3191.4
  sparse-bits  bit       ee       1     6.1993s     0.0077s     6.1926s     6.2112s       165.2
  sparse-bits  bit       ee       2     3.1750s     0.0016s     3.1730s     3.1774s       322.5
  sparse-bits  bit       ee       4     1.6721s     0.0019s     1.6696s     1.6745s       612.4
  sparse-bits  bit       ee       8     0.9026s     0.0069s     0.8955s     0.9131s      1134.6
  sparse-bits  bit       ee      16     0.6648s     0.0046s     0.6598s     0.6722s      1540.4
  sparse-bits  bit       ee      24     0.6242s     0.0124s     0.6058s     0.6397s      1640.4
  sparse-bits  byte-fold plain  ent     8.4962s     0.0203s     8.4824s     8.5305s       120.5
  sparse-bits  byte-fold plain    1     0.4122s     0.0011s     0.4107s     0.4132s      2484.5
  sparse-bits  byte-fold plain    2     0.2695s     0.0220s     0.2497s     0.2950s      3799.7
  sparse-bits  byte-fold plain    4     0.1632s     0.0143s     0.1442s     0.1825s      6275.3
  sparse-bits  byte-fold plain    8     0.0988s     0.0076s     0.0887s     0.1084s     10365.7
  sparse-bits  byte-fold plain   16     0.0751s     0.0030s     0.0724s     0.0790s     13638.3
  sparse-bits  byte-fold plain   24     0.0715s     0.0039s     0.0669s     0.0755s     14330.1
  sparse-bits  byte-fold e        1     2.8861s     0.0031s     2.8825s     2.8908s       354.8
  sparse-bits  byte-fold e        2     1.5288s     0.0255s     1.5122s     1.5740s       669.8
  sparse-bits  byte-fold e        4     0.8357s     0.0125s     0.8134s     0.8422s      1225.4
  sparse-bits  byte-fold e        8     0.4579s     0.0067s     0.4485s     0.4644s      2236.4
  sparse-bits  byte-fold e       16     0.3490s     0.0067s     0.3412s     0.3565s      2934.3
  sparse-bits  byte-fold e       24     0.3467s     0.0096s     0.3339s     0.3581s      2953.2
  sparse-bits  byte-fold ee       1     3.9157s     0.0221s     3.8837s     3.9340s       261.5
  sparse-bits  byte-fold ee       2     2.1676s     0.1067s     2.0509s     2.2659s       472.4
  sparse-bits  byte-fold ee       4     1.1820s     0.0413s     1.1141s     1.2190s       866.3
  sparse-bits  byte-fold ee       8     0.6322s     0.0133s     0.6122s     0.6483s      1619.7
  sparse-bits  byte-fold ee      16     0.4847s     0.0098s     0.4713s     0.4953s      2112.5
  sparse-bits  byte-fold ee      24     0.4625s     0.0100s     0.4496s     0.4770s      2214.0
  sparse-bits  fips      -        1     3.0931s     0.0086s     3.0825s     3.1017s       331.1
  sparse-bits  fips      -        2     1.6088s     0.0019s     1.6067s     1.6119s       636.5
  sparse-bits  fips      -        4     0.8476s     0.0031s     0.8452s     0.8529s      1208.1
  sparse-bits  fips      -        8     0.4605s     0.0049s     0.4539s     0.4656s      2223.6
  sparse-bits  fips      -       16     0.3603s     0.0056s     0.3518s     0.3647s      2841.7
  sparse-bits  fips      -       24     0.3388s     0.0025s     0.3349s     0.3410s      3022.4
  lcg          byte      plain  ent     8.8275s     0.0549s     8.7411s     8.8811s       116.0
  lcg          byte      plain    1     0.3142s     0.0018s     0.3120s     0.3169s      3258.7
  lcg          byte      plain    2     0.2007s     0.0012s     0.1995s     0.2023s      5102.8
  lcg          byte      plain    4     0.1190s     0.0045s     0.1162s     0.1271s      8603.3
  lcg          byte      plain    8     0.0748s     0.0018s     0.0734s     0.0774s     13690.8
  lcg          byte      plain   16     0.0641s     0.0043s     0.0589s     0.0686s     15985.1
  lcg          byte      plain   24     0.0622s     0.0054s     0.0567s     0.0685s     16451.3
  lcg          byte      e        1     1.8564s     0.0019s     1.8546s     1.8590s       551.6
  lcg          byte      e        2     1.0035s     0.0037s     1.0001s     1.0091s      1020.5
  lcg          byte      e        4     0.5409s     0.0005s     0.5403s     0.5415s      1893.2
  lcg          byte      e        8     0.3308s     0.0034s     0.3266s     0.3333s      3095.3
  lcg          byte      e       16     0.2857s     0.0062s     0.2789s     0.2931s      3584.7
  lcg          byte      e       24     0.3053s     0.0058s     0.2980s     0.3141s      3354.5
  lcg          byte      ee       1     3.0631s     0.0552s     3.0172s     3.1287s       334.3
  lcg          byte      ee       2     1.6394s     0.0118s     1.6283s     1.6520s       624.6
  lcg          byte      ee       4     0.8842s     0.0022s     0.8808s     0.8866s      1158.1
  lcg          byte      ee       8     0.5165s     0.0104s     0.5026s     0.5280s      1982.5
  lcg          byte      ee      16     0.4391s     0.0078s     0.4270s     0.4490s      2332.2
  lcg          byte      ee      24     0.4623s     0.0055s     0.4541s     0.4696s      2214.9
  lcg          bit       plain  ent    18.5048s     0.0402s    18.4524s    18.5510s        55.3
  lcg          bit       plain    1     0.1382s     0.0012s     0.1366s     0.1396s      7409.6
  lcg          bit       plain    2     0.1115s     0.0012s     0.1105s     0.1134s      9182.4
  lcg          bit       plain    4     0.0734s     0.0030s     0.0711s     0.0781s     13954.6
  lcg          bit       plain    8     0.0517s     0.0027s     0.0500s     0.0564s     19795.2
  lcg          bit       plain   16     0.0527s     0.0009s     0.0515s     0.0537s     19441.5
  lcg          bit       plain   24     0.0503s     0.0005s     0.0496s     0.0510s     20368.4
  lcg          bit       e        1     1.6860s     0.0021s     1.6830s     1.6882s       607.4
  lcg          bit       e        2     0.9107s     0.0031s     0.9069s     0.9150s      1124.4
  lcg          bit       e        4     0.4955s     0.0040s     0.4918s     0.5000s      2066.5
  lcg          bit       e        8     0.3028s     0.0101s     0.2909s     0.3168s      3381.5
  lcg          bit       e       16     0.2779s     0.0077s     0.2707s     0.2877s      3684.8
  lcg          bit       e       24     0.3014s     0.0041s     0.2959s     0.3052s      3397.9
  lcg          bit       ee       1     5.4100s     0.0025s     5.4074s     5.4132s       189.3
  lcg          bit       ee       2     2.7827s     0.0027s     2.7783s     2.7853s       368.0
  lcg          bit       ee       4     1.4650s     0.0023s     1.4626s     1.4686s       699.0
  lcg          bit       ee       8     0.7973s     0.0075s     0.7864s     0.8063s      1284.3
  lcg          bit       ee      16     0.6257s     0.0038s     0.6208s     0.6310s      1636.5
  lcg          bit       ee      24     0.6110s     0.0107s     0.6004s     0.6247s      1675.9
  lcg          byte-fold plain  ent    14.3776s     0.1106s    14.2993s    14.5638s        71.2
  lcg          byte-fold plain    1     0.4051s     0.0100s     0.3970s     0.4224s      2528.1
  lcg          byte-fold plain    2     0.2434s     0.0026s     0.2402s     0.2473s      4207.7
  lcg          byte-fold plain    4     0.1388s     0.0015s     0.1370s     0.1406s      7375.5
  lcg          byte-fold plain    8     0.0861s     0.0020s     0.0843s     0.0894s     11893.2
  lcg          byte-fold plain   16     0.0734s     0.0056s     0.0677s     0.0797s     13943.6
  lcg          byte-fold plain   24     0.0674s     0.0038s     0.0625s     0.0712s     15191.8
  lcg          byte-fold e        1     1.9674s     0.0191s     1.9462s     1.9893s       520.5
  lcg          byte-fold e        2     1.0426s     0.0037s     1.0382s     1.0476s       982.1
  lcg          byte-fold e        4     0.5721s     0.0094s     0.5630s     0.5862s      1789.9
  lcg          byte-fold e        8     0.3359s     0.0108s     0.3224s     0.3521s      3048.2
  lcg          byte-fold e       16     0.2977s     0.0056s     0.2934s     0.3069s      3439.3
  lcg          byte-fold e       24     0.3137s     0.0064s     0.3070s     0.3211s      3264.0
  lcg          byte-fold ee       1     3.1781s     0.0740s     3.0947s     3.2397s       322.2
  lcg          byte-fold ee       2     1.6952s     0.0058s     1.6873s     1.7022s       604.1
  lcg          byte-fold ee       4     0.9052s     0.0058s     0.8970s     0.9114s      1131.3
  lcg          byte-fold ee       8     0.5225s     0.0217s     0.5015s     0.5497s      1959.9
  lcg          byte-fold ee      16     0.4388s     0.0093s     0.4301s     0.4529s      2333.9
  lcg          byte-fold ee      24     0.4645s     0.0045s     0.4601s     0.4703s      2204.5
  lcg          fips      -        1     3.1214s     0.0079s     3.1079s     3.1276s       328.1
  lcg          fips      -        2     1.6231s     0.0014s     1.6212s     1.6246s       630.9
  lcg          fips      -        4     0.8560s     0.0015s     0.8540s     0.8576s      1196.2
  lcg          fips      -        8     0.4642s     0.0049s     0.4585s     0.4714s      2205.7
  lcg          fips      -       16     0.3592s     0.0012s     0.3577s     0.3609s      2850.8
  lcg          fips      -       24     0.3415s     0.0092s     0.3318s     0.3552s      2998.7
  walk         byte      plain  ent     8.3981s     0.0111s     8.3902s     8.4171s       121.9
  walk         byte      plain    1     0.3133s     0.0006s     0.3126s     0.3141s      3268.4
  walk         byte      plain    2     0.2020s     0.0022s     0.2000s     0.2050s      5070.5
  walk         byte      plain    4     0.1192s     0.0043s     0.1157s     0.1260s      8593.2
  walk         byte      plain    8     0.0776s     0.0014s     0.0761s     0.0797s     13198.8
  walk         byte      plain   16     0.0655s     0.0025s     0.0628s     0.0679s     15641.9
  walk         byte      plain   24     0.0645s     0.0035s     0.0605s     0.0687s     15877.5
  walk         byte      e        1     3.4129s     0.0142s     3.3918s     3.4281s       300.0
  walk         byte      e        2     1.7869s     0.0022s     1.7848s     1.7893s       573.1
  walk         byte      e        4     0.9545s     0.0035s     0.9522s     0.9602s      1072.8
  walk         byte      e        8     0.5261s     0.0051s     0.5191s     0.5332s      1946.4
  walk         byte      e       16     0.4135s     0.0099s     0.4020s     0.4280s      2476.7
  walk         byte      e       24     0.3887s     0.0060s     0.3823s     0.3969s      2634.2
  walk         byte      ee       1     5.2211s     0.1503s     5.1077s     5.3881s       196.1
  walk         byte      ee       2     2.7524s     0.0043s     2.7484s     2.7583s       372.0
  walk         byte      ee       4     1.4792s     0.0026s     1.4764s     1.4818s       692.3
  walk         byte      ee       8     0.8288s     0.0262s     0.8014s     0.8678s      1235.5
  walk         byte      ee      16     0.6180s     0.0047s     0.6130s     0.6229s      1657.1
  walk         byte      ee      24     0.5852s     0.0077s     0.5768s     0.5965s      1749.8
  walk         bit       plain  ent    18.2400s     0.0473s    18.1773s    18.3080s        56.1
  walk         bit       plain    1     0.1400s     0.0023s     0.1378s     0.1434s      7312.1
  walk         bit       plain    2     0.1121s     0.0011s     0.1107s     0.1134s      9134.5
  walk         bit       plain    4     0.0699s     0.0009s     0.0685s     0.0709s     14652.4
  walk         bit       plain    8     0.0532s     0.0025s     0.0504s     0.0568s     19261.2
  walk         bit       plain   16     0.0523s     0.0014s     0.0507s     0.0542s     19578.5
  walk         bit       plain   24     0.0506s     0.0005s     0.0502s     0.0515s     20230.7
  walk         bit       e        1     3.2398s     0.0111s     3.2276s     3.2529s       316.1
  walk         bit       e        2     1.6964s     0.0039s     1.6910s     1.7011s       603.6
  walk         bit       e        4     0.9031s     0.0016s     0.9011s     0.9050s      1133.9
  walk         bit       e        8     0.5097s     0.0096s     0.4985s     0.5217s      2009.1
  walk         bit       e       16     0.4016s     0.0088s     0.3886s     0.4117s      2550.1
  walk         bit       e       24     0.3789s     0.0044s     0.3742s     0.3837s      2702.9
  walk         bit       ee       1     6.8264s     0.0048s     6.8213s     6.8323s       150.0
  walk         bit       ee       2     3.5045s     0.0023s     3.5019s     3.5078s       292.2
  walk         bit       ee       4     1.8416s     0.0029s     1.8392s     1.8462s       556.0
  walk         bit       ee       8     0.9940s     0.0154s     0.9829s     1.0210s      1030.1
  walk         bit       ee      16     0.7447s     0.0057s     0.7377s     0.7528s      1375.0
  walk         bit       ee      24     0.6845s     0.0190s     0.6589s     0.7014s      1496.0
  walk         byte-fold plain  ent     9.4212s     0.0330s     9.3669s     9.4528s       108.7
  walk         byte-fold plain    1     0.4009s     0.0021s     0.3982s     0.4030s      2554.1
  walk         byte-fold plain    2     0.2512s     0.0137s     0.2434s     0.2755s      4077.0
  walk         byte-fold plain    4     0.1469s     0.0119s     0.1373s     0.1664s      6969.9
  walk         byte-fold plain    8     0.0904s     0.0057s     0.0855s     0.0997s     11329.7
  walk         byte-fold plain   16     0.0721s     0.0014s     0.0706s     0.0740s     14193.2
  walk         byte-fold plain   24     0.0684s     0.0031s     0.0642s     0.0724s     14961.4
  walk         byte-fold e        1     3.5153s     0.0242s     3.4920s     3.5492s       291.3
  walk         byte-fold e        2     1.8312s     0.0042s     1.8272s     1.8370s       559.2
  walk         byte-fold e        4     0.9767s     0.0072s     0.9714s     0.9893s      1048.5
  walk         byte-fold e        8     0.5520s     0.0133s     0.5364s     0.5669s      1854.9
  walk         byte-fold e       16     0.4216s     0.0030s     0.4174s     0.4254s      2428.8
  walk         byte-fold e       24     0.3999s     0.0064s     0.3934s     0.4070s      2560.8
  walk         byte-fold ee       1     5.3095s     0.1316s     5.1535s     5.4578s       192.9
  walk         byte-fold ee       2     2.8254s     0.0068s     2.8207s     2.8373s       362.4
  walk         byte-fold ee       4     1.4901s     0.0037s     1.4863s     1.4943s       687.2
  walk         byte-fold ee       8     0.8190s     0.0146s     0.8028s     0.8413s      1250.3
  walk         byte-fold ee      16     0.6242s     0.0112s     0.6069s     0.6381s      1640.5
  walk         byte-fold ee      24     0.5867s     0.0072s     0.5802s     0.5976s      1745.4
  walk         fips      -        1     3.1154s     0.0088s     3.1102s     3.1309s       328.7
  walk         fips      -        2     1.6235s     0.0008s     1.6226s     1.6243s       630.7
  walk         fips      -        4     0.8556s     0.0008s     0.8546s     0.8564s      1196.9
  walk         fips      -        8     0.4612s     0.0065s     0.4557s     0.4712s      2220.2
  walk         fips      -       16     0.3640s     0.0045s     0.3567s     0.3685s      2813.4
  walk         fips      -       24     0.3434s     0.0075s     0.3314s     0.3515s      2982.2
  stripes      byte      plain  ent     8.9799s     0.0212s     8.9661s     9.0173s       114.0
  stripes      byte      plain    1     0.3133s     0.0011s     0.3124s     0.3152s      3267.9
  stripes      byte      plain    2     0.2032s     0.0035s     0.2006s     0.2087s      5040.0
  stripes      byte      plain    4     0.1189s     0.0015s     0.1175s     0.1215s      8614.7
  stripes      byte      plain    8     0.0791s     0.0042s     0.0718s     0.0822s     12950.2
  stripes      byte      plain   16     0.0682s     0.0035s     0.0642s     0.0735s     15009.3
  stripes      byte      plain   24     0.0622s     0.0039s     0.0592s     0.0674s     16473.1
  stripes      byte      e        1     2.6231s     0.0159s     2.6096s     2.6477s       390.4
  stripes      byte      e        2     1.3926s     0.0174s     1.3795s     1.4180s       735.3
  stripes      byte      e        4     0.7469s     0.0103s     0.7382s     0.7644s      1371.0
  stripes      byte      e        8     0.4129s     0.0107s     0.4053s     0.4305s      2479.9
  stripes      byte      e       16     0.3263s     0.0092s     0.3187s     0.3401s      3138.3
  stripes      byte      e       24     0.3194s     0.0064s     0.3116s     0.3250s      3205.5
  stripes      byte      ee       1     3.5130s     0.0287s     3.4891s     3.5554s       291.5
  stripes      byte      ee       2     1.8578s     0.0104s     1.8472s     1.8703s       551.2
  stripes      byte      ee       4     0.9892s     0.0044s     0.9842s     0.9944s      1035.2
  stripes      byte      ee       8     0.5484s     0.0051s     0.5422s     0.5554s      1867.3
  stripes      byte      ee      16     0.4312s     0.0043s     0.4240s     0.4350s      2374.9
  stripes      byte      ee      24     0.4267s     0.0118s     0.4129s     0.4421s      2399.7
  stripes      bit       plain  ent    18.6637s     0.0638s    18.6037s    18.7716s        54.9
  stripes      bit       plain    1     0.1407s     0.0044s     0.1365s     0.1472s      7276.8
  stripes      bit       plain    2     0.1102s     0.0009s     0.1091s     0.1112s      9290.5
  stripes      bit       plain    4     0.0704s     0.0013s     0.0681s     0.0718s     14553.5
  stripes      bit       plain    8     0.0566s     0.0034s     0.0522s     0.0593s     18091.7
  stripes      bit       plain   16     0.0509s     0.0014s     0.0491s     0.0524s     20119.2
  stripes      bit       plain   24     0.0503s     0.0018s     0.0491s     0.0535s     20364.7
  stripes      bit       e        1     2.4376s     0.0016s     2.4359s     2.4395s       420.1
  stripes      bit       e        2     1.2896s     0.0019s     1.2880s     1.2924s       794.0
  stripes      bit       e        4     0.6922s     0.0018s     0.6907s     0.6947s      1479.3
  stripes      bit       e        8     0.3949s     0.0063s     0.3896s     0.4052s      2593.3
  stripes      bit       e       16     0.3087s     0.0062s     0.3012s     0.3136s      3317.5
  stripes      bit       e       24     0.3140s     0.0035s     0.3078s     0.3167s      3261.5
  stripes      bit       ee       1     6.0004s     0.0288s     5.9836s     6.0517s       170.7
  stripes      bit       ee       2     3.0705s     0.0014s     3.0691s     3.0729s       333.5
  stripes      bit       ee       4     1.6166s     0.0039s     1.6103s     1.6207s       633.4
  stripes      bit       ee       8     0.8691s     0.0027s     0.8650s     0.8715s      1178.3
