== fastent benchmark ==
  binary    : ./fastent
  ent       : /usr/bin/ent (compared at jobs=ent, single-threaded)
  size/run  : 1024 MiB
  runs/cell : 5 (after 1 warmup)
  jobs      : 1 2 4 8 16 24
  modes     : byte bit byte-fold
  levels    : plain e ee
  fips      : on
  datasets  : random zeros counter dna ascii biased sparse-bits lcg walk stripes
  cache     : /tmp/fastent-bench

  generating random       (1024 MiB) ...
  generating zeros        (1024 MiB) ...
  generating counter      (1024 MiB) ...
  generating dna          (1024 MiB) ...
  generating ascii        (1024 MiB) ...
  generating biased       (1024 MiB) ...
  generating sparse-bits  (1024 MiB) ...
  generating lcg          (1024 MiB) ...
  generating walk         (1024 MiB) ...
  generating stripes      (1024 MiB) ...

  dataset      mode      level jobs        mean      stddev         min         max       MiB/s
  zeros        byte      plain   16     0.0699s     0.0073s     0.0625s     0.0785s     14643.2
  zeros        byte      plain   24     0.0614s     0.0033s     0.0592s     0.0670s     16689.2
  zeros        byte      e        1     1.6411s     0.0052s     1.6364s     1.6489s       624.0
  zeros        byte      e        2     0.8996s     0.0178s     0.8836s     0.9204s      1138.2
  zeros        byte      e        4     0.4937s     0.0145s     0.4861s     0.5193s      2074.2
  zeros        byte      e        8     0.3100s     0.0082s     0.3006s     0.3225s      3302.8
  zeros        byte      e       16     0.2708s     0.0032s     0.2663s     0.2742s      3781.3
  zeros        byte      e       24     0.2931s     0.0082s     0.2884s     0.3076s      3493.7
  zeros        byte      ee       1     2.5215s     0.1909s     2.3713s     2.8552s       406.1
  zeros        byte      ee       2     1.3160s     0.1046s     1.2573s     1.5003s       778.1
  zeros        byte      ee       4     0.6846s     0.0093s     0.6775s     0.7002s      1495.7
  zeros        byte      ee       8     0.4640s     0.0299s     0.4152s     0.4952s      2206.9
  zeros        byte      ee      16     0.3629s     0.0184s     0.3411s     0.3819s      2821.7
  zeros        byte      ee      24     0.3890s     0.0089s     0.3785s     0.3987s      2632.6
  zeros        bit       plain  ent    17.3872s     0.1174s    17.3184s    17.5964s        58.9
  zeros        bit       plain    1     0.1394s     0.0010s     0.1380s     0.1405s      7344.4
  zeros        bit       plain    2     0.1110s     0.0024s     0.1087s     0.1150s      9221.4
  zeros        bit       plain    4     0.0716s     0.0008s     0.0704s     0.0725s     14301.6
  zeros        bit       plain    8     0.0514s     0.0014s     0.0496s     0.0530s     19939.2
  zeros        bit       plain   16     0.0519s     0.0010s     0.0507s     0.0532s     19744.6
  zeros        bit       plain   24     0.0512s     0.0015s     0.0496s     0.0532s     20013.4
  zeros        bit       e        1     1.4425s     0.0059s     1.4348s     1.4507s       709.9
  zeros        bit       e        2     0.7848s     0.0014s     0.7828s     0.7866s      1304.7
  zeros        bit       e        4     0.4336s     0.0023s     0.4298s     0.4357s      2361.8
  zeros        bit       e        8     0.2788s     0.0148s     0.2679s     0.3006s      3672.3
  zeros        bit       e       16     0.2603s     0.0054s     0.2556s     0.2696s      3934.1
  zeros        bit       e       24     0.2841s     0.0072s     0.2732s     0.2928s      3603.9
  zeros        bit       ee       1     3.8874s     0.0057s     3.8818s     3.8935s       263.4
  zeros        bit       ee       2     2.0150s     0.0027s     2.0124s     2.0196s       508.2
  zeros        bit       ee       4     1.0706s     0.0019s     1.0691s     1.0729s       956.5
  zeros        bit       ee       8     0.6004s     0.0017s     0.5986s     0.6027s      1705.7
  zeros        bit       ee      16     0.5029s     0.0100s     0.4966s     0.5205s      2036.4
  zeros        bit       ee      24     0.5139s     0.0042s     0.5093s     0.5178s      1992.8
  zeros        byte-fold plain  ent     8.4728s     0.0207s     8.4551s     8.5066s       120.9
  zeros        byte-fold plain    1     0.4450s     0.0637s     0.4136s     0.5588s      2301.3
  zeros        byte-fold plain    2     0.2545s     0.0009s     0.2534s     0.2559s      4023.2
  zeros        byte-fold plain    4     0.1570s     0.0175s     0.1421s     0.1764s      6521.2
  zeros        byte-fold plain    8     0.1025s     0.0076s     0.0894s     0.1081s      9987.3
  zeros        byte-fold plain   16     0.0746s     0.0021s     0.0718s     0.0767s     13726.8
  zeros        byte-fold plain   24     0.0720s     0.0050s     0.0659s     0.0788s     14216.2
  zeros        byte-fold e        1     1.7194s     0.0024s     1.7166s     1.7228s       595.6
  zeros        byte-fold e        2     0.9516s     0.0304s     0.9260s     0.9897s      1076.1
  zeros        byte-fold e        4     0.5087s     0.0104s     0.5030s     0.5272s      2012.8
  zeros        byte-fold e        8     0.3192s     0.0081s     0.3099s     0.3305s      3208.0
